,Unnamed: 0,State,DentalPlan,PlanID_2015,IssuerID_2015,MultistatePlan_2015,MetalLevel_2015,ChildAdultOnly_2015,FIPSCode,ZipCode,CrosswalkLevel,ReasonForCrosswalk,PlanID_2016,IssuerID_2016,MultistatePlan_2016,MetalLevel_2016,ChildAdultOnly_2016,AgeOffPlanID_2016,IssuerID_AgeOff2016,MultistatePlan_AgeOff2016,MetalLevel_AgeOff2016,ChildAdultOnly_AgeOff2016,PlanID_2014,IssuerID_2014,MultistatePlan_2014,MetalLevel_2014,ChildAdultOnly_2014,AgeOffPlanID_2015,IssuerID_AgeOff2015,MultistatePlan_AgeOff2015,MetalLevel_AgeOff2015,ChildAdultOnly_AgeOff2015
180613,30608,IL,N,79763IL0690003,79763,N,Bronze,0,17163,0,2,6,,,,,,,,,,,79763IL0040003,79763.0,N,Bronze,0.0,00000XX0000000,0.0,X,X,X
215782,65777,NE,N,29678NE1050003,29678,N,Bronze,0,31171,0,1,2,,,,,,,,,,,29678NE1050002,29678.0,N,Bronze,0.0,00000XX0000000,0.0,X,X,X
67565,67565,TX,Y,40540TX0070002,40540,N,Low,1,48479,0,0,0,40540TX0070002,40540.0,N,Low,1,40540TX0060002,40540.0,N,Low,0,,,,,,,,,,
20447,20447,IA,N,18973IA0250016,18973,N,Silver,0,19037,0,1,2,18973IA0250002,18973.0,N,Silver,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
59762,59762,IN,N,36373IN0020002,36373,N,Silver,0,18073,0,0,0,36373IN0020002,36373.0,N,Silver,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
114355,114355,IA,N,74980IA0020004,74980,N,Silver,0,19059,0,4,5,00000XX0000000,0.0,X,X,X,00000XX0000000,0.0,X,X,X,,,,,,,,,,
186937,36932,KS,N,18558KS0360031,18558,N,Bronze,0,20205,0,0,0,,,,,,,,,,,18558KS0360031,18558.0,N,Bronze,0.0,00000XX0000000,0.0,X,X,X
33121,33121,SC,N,26065SC0400001,26065,Y,Gold,0,45045,0,0,0,26065SC0400001,26065.0,N,Gold,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
118707,118707,IN,Y,79503IN0010001,79503,N,High,1,18103,0,0,0,79503IN0010001,79503.0,N,High,1,79503IN0010003,79503.0,N,High,0,,,,,,,,,,
40319,40319,MO,Y,29416MO0020003,29416,N,High,0,29219,0,0,0,29416MO0020003,29416.0,N,High,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
101036,101036,SC,N,65122SC0010027,65122,Y,Silver,0,45079,0,0,5,00000XX0000000,0.0,X,X,X,00000XX0000000,0.0,X,X,X,,,,,,,,,,
98253,98253,MI,Y,62294MI0420001,62294,N,Low,0,26113,0,0,0,62294MI0420001,62294.0,N,Low,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
163019,13014,FL,Y,59667FL0010004,59667,N,Low,0,12005,0,0,0,,,,,,,,,,,59667FL0010004,59667.0,N,Low,0.0,00000XX0000000,0.0,X,X,X
257859,107854,TX,N,33602TX0460085,33602,N,Silver,0,48043,0,2,1,,,,,,,,,,,33602TX0460003,33602.0,N,Silver,0.0,00000XX0000000,0.0,X,X,X
251489,101484,TX,Y,23891TX0010006,23891,N,Low,0,48333,0,2,0,,,,,,,,,,,23891TX0010006,23891.0,N,Low,0.0,00000XX0000000,0.0,X,X,X
87076,87076,VA,Y,54965VA0020001,54965,N,Low,1,51685,0,2,0,54965VA0020001,54965.0,N,Low,1,54965VA0020002,54965.0,N,Low,0,,,,,,,,,,
189615,39610,LA,Y,00000XX0000000,0,X,X,X,22011,0,4,5,,,,,,,,,,,18575LA0010001,18575.0,N,High,1.0,00000XX0000000,0.0,X,X,X
246598,96593,TN,N,14002TN0340013,14002,N,Gold,0,47145,0,2,0,,,,,,,,,,,14002TN0340013,14002.0,N,Gold,0.0,00000XX0000000,0.0,X,X,X
216919,66914,NE,N,00000XX0000000,0,X,X,X,31043,0,4,5,,,,,,,,,,,43198NE0200005,43198.0,N,Catastrophic,0.0,00000XX0000000,0.0,X,X,X
156944,6939,AZ,N,84251AZ0070009,84251,N,Silver,0,4003,0,1,2,,,,,,,,,,,84251AZ0070008,84251.0,N,Silver,0.0,00000XX0000000,0.0,X,X,X
251242,101237,TX,Y,23891TX0010004,23891,N,High,0,48279,0,2,0,,,,,,,,,,,23891TX0010004,23891.0,N,High,0.0,00000XX0000000,0.0,X,X,X
75931,75931,NE,Y,45550NE0150001,45550,N,High,0,31109,0,0,0,45550NE0150001,45550.0,N,High,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
215208,65203,NE,N,15438NE0180005,15438,N,Bronze,0,31001,0,2,2,,,,,,,,,,,15438NE0180004,15438.0,N,Catastrophic,0.0,00000XX0000000,0.0,X,X,X
35930,35930,ND,Y,27882ND0090001,27882,N,High,1,38065,0,0,0,27882ND0090001,27882.0,N,High,1,00000XX0000000,0.0,X,X,X,,,,,,,,,,
248879,98874,TN,N,99248TN0020004,99248,N,Silver,0,47121,0,0,0,,,,,,,,,,,99248TN0020004,99248.0,N,Silver,0.0,00000XX0000000,0.0,X,X,X
138494,138494,MS,N,94237MS0020009,94237,N,Silver,0,28093,0,1,6,90714MS0020003,90714.0,N,Silver,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
33936,33936,TX,N,26539TX0140006,26539,N,Bronze,0,48433,0,0,0,26539TX0140006,26539.0,N,Bronze,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
16939,16939,IN,N,17575IN0930005,17575,Y,Silver,0,18061,0,0,0,17575IN0930005,17575.0,N,Silver,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
19654,19654,LA,Y,18802LA0010004,18802,N,High,0,22075,0,0,0,18802LA0010004,18802.0,N,High,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
270583,120578,VA,N,20507VA1180001,20507,N,Bronze,0,51097,0,1,2,,,,,,,,,,,20507VA1180004,20507.0,N,Bronze,0.0,00000XX0000000,0.0,X,X,X
136366,136366,IN,Y,91920IN0010009,91920,N,Low,0,18115,0,0,0,91920IN0010009,91920.0,N,Low,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
84688,84688,AZ,N,51485AZ0170001,51485,N,Platinum,0,4013,0,4,5,00000XX0000000,0.0,X,X,X,00000XX0000000,0.0,X,X,X,,,,,,,,,,
